route,http_status,content_authority,cms_type,cms_path,title,description,review_status,production_change_verified
/en,200,REPOSITORY_AUTHORITATIVE,page,/,"Blue Diamond Medical Clinic — Family Medicine & Medical Aesthetics, Calgary","Family medicine, walk-in care, and physician-led medical aesthetics at Blue Diamond Medical Clinic in West Springs, Calgary. Male and female physicians accepting new patients.",REVIEW_IN_PROGRESS,NO
/en/about,200,REPOSITORY_AUTHORITATIVE,page,/about,About Blue Diamond Medical · Blue Diamond Medical,"Blue Diamond Medical Clinic's mission, founded by Dr. Mohamed Farhat in West Springs, Calgary, in 2022.",REVIEW_IN_PROGRESS,NO
/en/aesthetics,200,REPOSITORY_AUTHORITATIVE,page,/aesthetics,Medical Aesthetics · Blue Diamond Medical,"Physician-led medical aesthetics at Blue Diamond Medical — RF microneedling, skin tightening, laser treatments, and Botox, delivered by the same clinical team.",REVIEW_IN_PROGRESS,NO
/en/aesthetics/before-after,200,REPOSITORY_AUTHORITATIVE,,,Before & After · Blue Diamond Medical,"Before-and-after examples from laser, radiofrequency, and PRP treatments at Blue Diamond Medical Aesthetics in Calgary. Individual results vary.",REVIEW_IN_PROGRESS,NO
/en/aesthetics/pricing,200,REPOSITORY_AUTHORITATIVE,,,Aesthetics Pricing · Blue Diamond Medical,"Current pricing for laser, radiofrequency, microneedling, and PRP treatments at Blue Diamond Medical Aesthetics in Calgary, listed by treatment area.",REVIEW_IN_PROGRESS,NO
/en/aesthetics/technologies,200,REPOSITORY_AUTHORITATIVE,page,/aesthetics/technologies,Technologies · Blue Diamond Medical,"The Cynosure devices used at Blue Diamond Medical Aesthetics in Calgary — Elite iQ, Potenza, TempSure, Ultra, and TempSure Vitalia — and the treatments each one supports.",REVIEW_IN_PROGRESS,NO
/en/aesthetics/technologies/elite-iq,200,CMS_AUTHORITATIVE,content_entry,/aesthetics/technologies/elite-iq,Elite iQ™ · Blue Diamond Medical,"Cynosure's Elite iQ™ device offers quick, personalized laser hair treatments using the Skintel™ device — the first Health Canada and FDA cleared melanin reader on the market — allowing safe treatment of all skin types and areas.",REVIEW_IN_PROGRESS,NO
/en/aesthetics/technologies/potenza,200,CMS_AUTHORITATIVE,content_entry,/aesthetics/technologies/potenza,Potenza · Blue Diamond Medical,"A one-of-a-kind radio-frequency micro-needling system, ideal for skin tightening and smoothing all over the body — for fine lines or tightening after rapid weight loss or post-birth.",REVIEW_IN_PROGRESS,NO
/en/aesthetics/technologies/tempsure,200,CMS_AUTHORITATIVE,content_entry,/aesthetics/technologies/tempsure,TempSure · Blue Diamond Medical,"A non-invasive tool for tightening and firming skin all over the body, with zero downtime.",REVIEW_IN_PROGRESS,NO
/en/aesthetics/technologies/tempsure-vitalia,200,CMS_AUTHORITATIVE,content_entry,/aesthetics/technologies/tempsure-vitalia,TempSure Vitalia · Blue Diamond Medical,Equipment addressing many pelvic floor issues and sexual health concerns women experience at all ages and stages of life.,REVIEW_IN_PROGRESS,NO
/en/aesthetics/technologies/ultra,200,CMS_AUTHORITATIVE,content_entry,/aesthetics/technologies/ultra,Ultra · Blue Diamond Medical,"A low-downtime laser that rejuvenates skin, giving it a brighter tone and improved texture, with treatments customized to your needs and schedule.",REVIEW_IN_PROGRESS,NO
